Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
CPP_ArrayNativo,10000,adicaoInicio,0.00024,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000275,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.00032,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000236,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000269,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000314,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000235,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000318,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000234,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.00027,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000306,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000237,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000271,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000313,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000235,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000269,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000316,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000234,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000268,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000317,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000237,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000273,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000316,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000238,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000274,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000326,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000239,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000268,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000308,4395008
CPP_ArrayNativo,10000,adicaoInicio,0.000242,4395008
CPP_ArrayNativo,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayNativo,10000,busca,1.1e-05,4395008
CPP_ArrayNativo,10000,remocaoValor,0.000275,4395008
CPP_ArrayNativo,10000,remocaoIndice,0.000319,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001149,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001141,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001293,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001083,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001137,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001304,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001074,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001141,4395008
CPP_ArrayManual,30000,remocaoIndice,0.0013,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001072,4395008
CPP_ArrayManual,30000,adicaoFinal,1.3e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001136,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001302,4395008
CPP_ArrayManual,30000,adicaoInicio,0.00107,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001142,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001293,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001075,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001254,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001294,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001072,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001143,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001299,4395008
